index,source,target,weight,counts
608,Bill Stepien,Jason Miller,1,1
607,Bill Stepien,Jared Kushner,1,1
606,Bill Stepien,Dan Scavino,1,1
6,Hope Hicks,Mike Pence,1,1
826,Jared Kushner,Dan Scavino,1,1
605,Bill Stepien,Eric Trump,1,1
604,Bill Stepien,Donald Trump Jr.,1,1
603,Bill Stepien,Ivanka Trump,1,1
817,Nicholas Luna,Dan Scavino,1,1
816,Nicholas Luna,Jared Kushner,1,1
815,Nicholas Luna,Stephen Miller,1,1
814,Nicholas Luna,Kayleigh McEnany,1,1
23,Brian Kemp,David Perdue,1,1
631,Ivanka Trump,Jason Miller,1,1
630,Ivanka Trump,Jared Kushner,1,1
629,Ivanka Trump,Dan Scavino,1,1
802,Donald Trump,Nicholas Luna,1,1
626,Stephen Miller,Robert O'Brien,1,1
625,Stephen Miller,Kimberly Guilfoyle,1,1
624,Stephen Miller,Tiffany Trump,1,1
22,Kelly Loeffler,Ben Carson,1,1
622,Stephen Miller,Lara Trump,1,1
621,Stephen Miller,Jim Jordan,1,1
21,Kelly Loeffler,David Perdue,1,1
20,Kelly Loeffler,Brian Kemp,1,1
620,Stephen Miller,Jason Miller,1,1
19,Donald Trump,Ben Carson,1,1
18,Donald Trump,David Perdue,1,1
808,Hope Hicks,Nicholas Luna,1,1
809,Hope Hicks,Kayleigh McEnany,1,1
17,Donald Trump,Brian Kemp,1,1
14,Mark Meadows,Jason Miller,1,1
13,Mark Meadows,Dan Scavino,1,1
102,Mike Lee,Alex Azar,1,1
664,Dan Scavino,Robert O'Brien,1,1
783,Eric Trump,Donald Trump Jr.,1,1
601,Hope Hicks,Robert O'Brien,1,1
697,Donald Trump,Jill Biden,1,1
696,Donald Trump,Chris Wallace,1,1
738,Joe Biden,Donald Trump Jr.,1,1
739,Joe Biden,Mark Meadows,1,1
740,Joe Biden,Jim Jordan,1,1
741,Joe Biden,Tiffany Trump,1,1
742,Joe Biden,Kimberly Guilfoyle,1,1
743,Chris Wallace,Jill Biden,1,1
744,Chris Wallace,Rudolph Giuliani,1,1
745,Chris Wallace,Lara Trump,1,1
656,Eric Trump,Robert O'Brien,1,1
746,Chris Wallace,Ivanka Trump,1,1
695,Donald Trump,Joe Biden,1,1
747,Chris Wallace,Eric Trump,1,1
748,Chris Wallace,Donald Trump Jr.,1,1
692,Kimberly Guilfoyle,Robert O'Brien,1,1
691,Tiffany Trump,Robert O'Brien,1,1
749,Chris Wallace,Mark Meadows,1,1
689,Mark Meadows,Robert O'Brien,1,1
750,Chris Wallace,Jim Jordan,1,1
75,Chris Christie,Alex Azar,1,1
737,Joe Biden,Eric Trump,1,1
736,Joe Biden,Ivanka Trump,1,1
735,Joe Biden,Lara Trump,1,1
721,Kayleigh McEnany,Chris Wallace,1,1
720,Kayleigh McEnany,Joe Biden,1,1
724,Kayleigh McEnany,Lara Trump,1,1
725,Kayleigh McEnany,Ivanka Trump,1,1
60,Melania Trump,Alex Azar,1,1
726,Kayleigh McEnany,Eric Trump,1,1
727,Kayleigh McEnany,Donald Trump Jr.,1,1
711,Melania Trump,Rudolph Giuliani,1,1
710,Melania Trump,Jill Biden,1,1
709,Melania Trump,Chris Wallace,1,1
708,Melania Trump,Joe Biden,1,1
729,Kayleigh McEnany,Jim Jordan,1,1
69,Chris Christie,Thom Tillis,1,1
731,Kayleigh McEnany,Kimberly Guilfoyle,1,1
70,Chris Christie,Mike Lee,1,1
71,Chris Christie,John Jenkins,1,1
732,Joe Biden,Chris Wallace,1,1
733,Joe Biden,Jill Biden,1,1
734,Joe Biden,Rudolph Giuliani,1,1
751,Chris Wallace,Tiffany Trump,1,1
686,Lara Trump,Robert O'Brien,1,1
752,Chris Wallace,Kimberly Guilfoyle,1,1
765,Rudolph Giuliani,Donald Trump Jr.,1,1
767,Rudolph Giuliani,Jim Jordan,1,1
768,Rudolph Giuliani,Tiffany Trump,1,1
769,Rudolph Giuliani,Kimberly Guilfoyle,1,1
770,Lara Trump,Ivanka Trump,1,1
771,Lara Trump,Eric Trump,1,1
772,Lara Trump,Donald Trump Jr.,1,1
774,Lara Trump,Jim Jordan,1,1
672,Jason Miller,Jim Jordan,1,1
671,Jared Kushner,Robert O'Brien,1,1
670,Jared Kushner,Kimberly Guilfoyle,1,1
669,Jared Kushner,Tiffany Trump,1,1
667,Jared Kushner,Lara Trump,1,1
666,Jared Kushner,Jim Jordan,1,1
665,Jared Kushner,Jason Miller,1,1
663,Dan Scavino,Kimberly Guilfoyle,1,1
662,Dan Scavino,Tiffany Trump,1,1
660,Dan Scavino,Lara Trump,1,1
659,Dan Scavino,Jim Jordan,1,1
657,Dan Scavino,Jared Kushner,1,1
766,Rudolph Giuliani,Mark Meadows,1,1
764,Rudolph Giuliani,Eric Trump,1,1
753,Jill Biden,Rudolph Giuliani,1,1
763,Rudolph Giuliani,Ivanka Trump,1,1
754,Jill Biden,Lara Trump,1,1
682,Jim Jordan,Robert O'Brien,1,1
84,Thom Tillis,Mike Lee,1,1
85,Thom Tillis,John Jenkins,1,1
679,Jim Jordan,Mark Meadows,1,1
755,Jill Biden,Ivanka Trump,1,1
678,Jim Jordan,Lara Trump,1,1
677,Jason Miller,Robert O'Brien,1,1
676,Jason Miller,Kimberly Guilfoyle,1,1
756,Jill Biden,Eric Trump,1,1
675,Jason Miller,Tiffany Trump,1,1
757,Jill Biden,Donald Trump Jr.,1,1
758,Jill Biden,Mark Meadows,1,1
674,Jason Miller,Mark Meadows,1,1
673,Jason Miller,Lara Trump,1,1
759,Jill Biden,Jim Jordan,1,1
760,Jill Biden,Tiffany Trump,1,1
761,Jill Biden,Kimberly Guilfoyle,1,1
762,Rudolph Giuliani,Lara Trump,1,1
602,Bill Stepien,Stephen Miller,1,1
265,John Jenkins,Al Drago,1,1
600,Hope Hicks,Kimberly Guilfoyle,1,1
339,Greg Laurie,Al Drago,1,1
365,Chad Gilmartin,Tiffany Trump,1,1
364,Chad Gilmartin,Pat Cipollone,1,1
363,Chad Gilmartin,Kelly Loeffler,1,1
362,Chad Gilmartin,Josh Hawley,1,1
361,Chad Gilmartin,Ben Sasse,1,1
360,Chad Gilmartin,Mark Meadows,1,1
359,Chad Gilmartin,Karen Pence,1,1
358,Chad Gilmartin,Mike Pence,1,1
357,Chad Gilmartin,William Barr,1,1
356,Chad Gilmartin,Amy Coney Barrett,1,1
355,Chad Gilmartin,Al Drago,1,1
354,Chad Gilmartin,Kayleigh McEnany,1,1
353,Chad Gilmartin,Karoline Leavitt,1,1
352,Greg Laurie,Deb Fischer,1,1
