,ppl,date,event,combination,source_abb,target_abb,abbrev_x,source,abbrev_y,target,weight
72,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'ACB')",CC,ACB,CC,Chris Christie,ACB,Amy Coney Barrett,1
73,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'MM')",CC,MM,CC,Chris Christie,MM,Mark Meadows,1
74,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'WB')",CC,WB,CC,Chris Christie,WB,William Barr,1
75,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'AA')",CC,AA,CC,Chris Christie,AA,Alex Azar,1
76,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'JH')",CC,JH,CC,Chris Christie,JH,Josh Hawley,1
77,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'KL')",CC,KL,CC,Chris Christie,KL,Kelly Loeffler,1
78,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'BS')",CC,BS,CC,Chris Christie,BS,Ben Sasse,1
79,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'PC')",CC,PC,CC,Chris Christie,PC,Pat Cipollone,1
80,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'TT')",CC,TT,CC,Chris Christie,TT,Tiffany Trump,1
81,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'MB')",CC,MB,CC,Chris Christie,MB,Marsha Blackburn,1
82,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'MC')",CC,MC,CC,Chris Christie,MC,Mike Crapo,1
83,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'DF')",CC,DF,CC,Chris Christie,DF,Deb Fischer,1
84,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'ML')",THOMT,ML,THOMT,Thom Tillis,ML,Mike Lee,1
85,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'JJ')",THOMT,JJ,THOMT,Thom Tillis,JJ,John Jenkins,1
86,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'ACB')",THOMT,ACB,THOMT,Thom Tillis,ACB,Amy Coney Barrett,1
87,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'MM')",THOMT,MM,THOMT,Thom Tillis,MM,Mark Meadows,1
88,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'WB')",THOMT,WB,THOMT,Thom Tillis,WB,William Barr,1
89,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'AA')",THOMT,AA,THOMT,Thom Tillis,AA,Alex Azar,1
90,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'JH')",THOMT,JH,THOMT,Thom Tillis,JH,Josh Hawley,1
91,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'KL')",THOMT,KL,THOMT,Thom Tillis,KL,Kelly Loeffler,1
92,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'BS')",THOMT,BS,THOMT,Thom Tillis,BS,Ben Sasse,1
93,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'PC')",THOMT,PC,THOMT,Thom Tillis,PC,Pat Cipollone,1
94,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('THOMT', 'TT')",THOMT,TT,THOMT,Thom Tillis,TT,Tiffany Trump,1
